City,State,CBSA code,2001,2002,2003,2004,2005,2006,2007,2008 millions,2009 millions,2010 millions,2011 millions,2012 millions,2013 millions,2009 percent change,2010 percent change,2011 percent change,2012 percent change,2013 percent change,percent change rank 2013
Hot Springs,AR,26300,1957,2011,2104,2261,2453,2585,2594,2759,2628,2776,2863,2936,2993,-4.8,5.6,3.1,2.6,2,157
Houma-Thibodaux,LA,26380,6262,5714,5996,6218,6914,8468,9393,9682,10565,10757,10496,11091,11840,9.1,1.8,-2.4,5.7,6.8,15
Houston-The Woodlands-Sugar Land,TX,26420,241587,239166,255599,286548,317240,353327,392601,372577,375438,379595,397638,433463,456177,0.8,1.1,4.8,9,5.2,29
Huntington-Ashland,WV-KY-OH,26580,8331,8683,9038,9653,10322,10970,11456,11971,12147,12116,11878,11750,12248,1.5,-0.3,-2,-1.1,4.2,48
Huntsville,AL,26620,12420,13642,15033,16322,17400,18349,18964,19945,20215,21147,21339,21509,21645,1.4,4.6,0.9,0.8,0.6,247
Idaho Falls,ID,26820,3078,3305,3468,3743,3967,4340,4670,4998,5033,5021,5060,4977,5057,0.7,-0.3,0.8,-1.6,1.6,179
Indianapolis-Carmel-Anderson,IN,26900,78606,80884,84537,90698,94511,99621,104147,111437,106790,110874,110623,113491,117312,-4.2,3.8,-0.2,2.6,3.4,74
Iowa City,IA,26980,5176,5201,5450,5850,6068,6476,6790,7154,7184,7384,7586,7797,7974,0.4,2.8,2.7,2.8,2.3,139
Ithaca,NY,27060,2873,3024,3267,3387,3508,3619,3753,4135,4163,4179,4148,4208,4211,0.7,0.4,-0.8,1.5,0.1,287
Jackson,MI,27100,4176,4320,4347,4560,4770,4829,4928,5024,4686,5020,5108,5125,5335,-6.7,7.1,1.8,0.3,4.1,50
Jackson,MS,27140,17173,18014,18974,20342,21108,22382,23692,24606,24168,24673,25270,26130,26225,-1.8,2.1,2.4,3.4,0.4,264
Jackson,TN,27180,3811,4028,4251,4423,4656,4799,4733,5092,4958,5019,5127,5299,5348,-2.6,1.2,2.2,3.4,0.9,226
Jacksonville,FL,27260,40586,42736,46361,49775,53876,58849,60625,59732,56393,56755,56281,57388,58229,-5.6,0.6,-0.8,2,1.5,188
Jacksonville,NC,27340,3751,3726,4082,4611,5062,5359,5986,6698,7374,7774,7683,7668,7477,10.1,5.4,-1.2,-0.2,-2.5,363
Janesville-Beloit,WI,27500,4255,4695,4881,4941,4918,5366,5332,5265,4789,4909,5033,5107,5413,-9,2.5,2.5,1.5,6,23
Jefferson City,MO,27620,4495,4456,4796,5155,5325,5532,5682,5962,5963,6170,6027,5953,6140,0,3.5,-2.3,-1.2,3.1,92
